Year,NetAction
1982,3.295314285714286
1987,21.923314285714284
1992,123.21725714285714
2000,-1.6189714285714292
2001,5.036457142857142
2002,0.4695999999999998
2003,20.082857142857144
2004,19.21245714285714
2005,-9.423885714285714
2006,1.5130285714285723
2007,15.309028571428572
2008,9.06045714285714
2009,6.0
2010,6.0457142857142845
2011,0.18285714285714327
2012,-5.6667428571428555
2013,-4.560685714285716
2014,0.5761142857142865
2015,-2.174285714285716
2016,4.053257142857142
2017,12.459314285714289
2018,18.176457142857146
2019,-24.7744
2020,21.7104
2021,16.996457142857142
2022,-11.766171428571427
2023,-3.9118857142857166
