Year,State,Action,Reward,NextState
1982,22.0,3.295314285714286,-573.0,27.0
1987,27.0,21.923314285714284,-552.3333333333334,51.0
1992,51.0,123.21725714285714,-428.66666666666663,178.0
2000,178.0,-1.6189714285714292,-423.0,187.0
2001,187.0,5.036457142857142,-410.33333333333337,203.0
2002,203.0,0.4695999999999998,-401.66666666666663,215.0
2003,215.0,20.082857142857144,-373.0,247.0
2004,247.0,19.21245714285714,-344.33333333333337,279.0
2005,279.0,-9.423885714285714,-343.66666666666663,283.0
2006,283.0,1.5130285714285723,-332.0,298.0
2007,298.0,15.309028571428572,-306.33333333333337,327.0
2008,327.0,9.06045714285714,-286.66666666666663,350.0
2009,350.0,6.0,-270.0,370.0
2010,370.0,6.0457142857142845,-253.33333333333337,390.0
2011,390.0,0.18285714285714327,-242.66666666666663,404.0
2012,404.0,-5.6667428571428555,-238.0,412.0
2013,412.0,-4.560685714285716,-232.33333333333337,421.0
2014,421.0,0.5761142857142865,-221.66666666666663,435.0
2015,435.0,-2.174285714285716,-214.0,446.0
2016,446.0,4.053257142857142,-200.33333333333337,463.0
2017,463.0,12.459314285714289,-178.66666666666663,488.0
2018,488.0,18.176457142857146,-152.0,518.0
2019,518.0,-24.7744,-169.33333333333337,504.0
2020,504.0,21.7104,-139.66666666666663,537.0
2021,537.0,16.996457142857142,-116.0,564.0
2022,564.0,-11.766171428571427,-122.33333333333337,561.0
2023,561.0,-3.9118857142857166,-120.66666666666663,566.0
